1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
12	INTJ ADV DETFS NFS AUX ADV ADJFS COCO ADJFS AUX DETMS NMS ADV PREL VERB DET NFS PDEMMS PREP NMS DET NFP VERB ADV PREP CHIF ADV CHIF CHIF NMP NFS	oui effectivement la situation est très évolutive et c' est le vent ici qui dicte sa loi cet après midi les rafales atteignent jusqu' à trente parfois trente cinq kilomètres heure	oui effectivement la situation est très évolutive et c' est le vent ici qui dicte sa loi cet après-midi <eps> les rafales atteignent jusqu' à trente parfois trente cinq kilomètres heure	_
13	ADV VERB DINTMS NMS VPPMS PREP PDEMMS NMS PREP NMS	autrement dit un feu maîtrisé comme ce matin par exemple	autrement dit un feu maîtrisé comme ce matin par exemple	_
14	ADV VERB ADV PREP ADV VERB DINTMS NMS ADV VPPMS COCO ADV COSUB DET CHIF CHIF CHIF NMP ADJMP ADJ VPPMP AUX DINTMS ADJMS ADV ADJMP PUNCT PPER3MP VERB <eps> PREP VERB NMS ADV	ne veut pas pour autant dire un feu complètement éteint et même si les quatre cent quinze sapeurs pompiers français mobilisés étaient un petit peu fatigués aujourd'hui ils travaillent <eps> d' arrache pied néanmoins	ne veut pas pour autant dire un feu complètement éteint <eps> même si les quatre cents quinze sapeurs pompiers français mobilisés était un petit peu fatigué aujourd' hui il travaille d' arrache-pied <eps> néanmoins	_
15	PREP VERB DETMS NMS COCO PREFP VERB VERB AUX VERB	pour quadriller le secteur et vous pouvez peut être entendre	pour quadriller le secteur et vous pouvez peut-être <eps> entendre	_
16	COCO <eps> VERB PREP NMS PREP PPOBJMS DET NMP PREP NFS PREL VERB PREP VERB DETFS NFS DETFS NFS ADJFS PREP DET NMP ADJMP VERB PREP VERB ADJMP DET NMP ADJMP	et <eps> voir au dessus de moi les bombardiers d' eau qui continuent de survoler la zone la mission première de ces sapeurs pompiers est de surveiller tous les foyers inactifs	est à voir au-dessus <eps> de moi les bombardiers d' eau qui continue de survoler la zone la mission première de ces sapeurs-pompiers et <eps> de surveiller tous les foyers inactif	_
17	PREP NFS COSUB PINDMS PREP PPOBJMP ADV PREF VERB PREP ADJMS PREFP VERB ADV PREP DET NFS PREP PREP DET NMP ADJMP PREP NFS PREP NFS COCO PPER1S VERB PREFP VERB COSUB DET NFS PREP NMS AUX ADV ADV ADJFS	de sorte que aucun d' eux ne s' embrase à nouveau nous étions tout à l' heure a(vec) avec les sapeurs pompiers en mission de reconnaissance et je peux vous dire que l' odeur de brûlé est encore particulièrement intense	de sorte que aucun d' eux ne s' embrase à nouveau nous étions tout à l' heure <eps> avec les sapeurs-pompiers <eps> en mission de reconnaissance et je peux vous dire que l' odeur de brûlé est encore particulièrement intense	_
18	<eps> CHIF CHIF NMP VPPMP ADV ADJMS CHIF NMP DETFS ADJFS ADJFS ADJFS NFS VERB COSUB PPER3MS ADV PPOBJMS VERB ADV DET ADJ NMP ADJMP	<eps> quinze mille hectares dévastés côté espagnol quatre morts la seule bonne nouvelle c' est que il n' y a pas de gros dégâts matériels	peine quinze milles hectares dévastés coté espagnol quatre morts la seule bonne nouvelle c' est que il n' y a pas de gros dégâts matériels	_
19	INTJ ADV COSUB DET NMP AUX ADV ADV ADJMP NMS VPPMS PREP DET NFS PREP DET NMS PREFP AUX ADV PREP DET NFP PREP PROPN	oui effectivement (n) les dégâts sont plutôt relativement limités compte tenu de l' intensité de l' incendie nous sommes ici sur les hauteurs de perthus	oui effectivement un les dégâts sont plutôt relativement limité compte tenu de l' intensité de l' incendie nous sommes ici sur les hauteurs de perturber	_
20	DETMS ADJMS NMS PREP DETFS NFS ADJFS COCO PDEMMS AUX ADV ADV PREP NMS DINTMS NMS PREP PROPN COSUB DETMS NMS AUX VPPMS PPER3MS PPOBJMS VERB CHIF NMP COSUB PREFP VERB PPOBJMS VERB PREP PPOBJMP	le dernier village avant la frontière espagnole et c' est ici même au pied du fort de bellegarde que le brasier a commencé il y a trois jours comme vous pouvez le voir derrière moi	<eps> dernier village avant la frontière espagnole et c' est ici même au pied du fort de belgrade que le brasier a commencé il y a trois jours comme vous pouvez le voir derrière moi	_
21	PDEMMS AUX DINTMS NMS ADV ADV VPPMS COCO DET ADJFP NFP ADJFP AUX ADV ADV AUX VPPFP DET NFP PREP DET NFS	c' est un secteur très peu habité et les rares maisons isolées ont fort heureusement été sauvées des flammes par l' intervention	<eps> est un secteur très peu habitée et les rares maisons isolées <eps> fort heureusement été sauvées des flammes par l' intervention	_
22	DET NMP ADV ADJMS AUX DINTFS NFS <eps> ADV ADJFS COCO ADV PREP ADV PREP NFS DINTMS NMS ADV PREP ADV ADJMS NMS DET ADJMP NMP PREL PREFP AUX VPPMS VERB	des pompiers néanmoins c' est une zone <eps> extrêmement dense et donc avec beaucoup de végétation un secteur donc à très haut risque les rares riverains que nous avons pu croiser	des pompiers néanmoins c' est une zone est extrêmement dense et donc avec beaucoup de végétation un secteur donc à très haut risque les rares riverains que nous avons pu croiser	_
23	VERB ADV PREP DET NFS PREP DETFS DETFS NFS PREP VERB ADV PDEMMS NMS ADV VPPMS PREP DET NFP COCO ADV DET NFS PREP VERB ADV VERB PRON PREL PPER3MS VERB PREF VERB PREP DET ADJFP NFP PREP DET	oscillaient tout à l' heure entre la la désolation de voir finalement ce paysage complètement ravagé par les flammes mais aussi l' inquiétude de savoir qu' est ce qu' il pourra se passer dans les prochaines heures dans les	<eps> tout à l' heure entre la la désolation de voir finalement ce paysage complètement ravagé par les flammes mais aussi l' inquiétude de savoir qu' est-ce <eps> qu' il pourra se passer dans les prochaines heures dans les	_
24	ADJMP NMP COSUB ADV DETMS NMS VERB PREP NFS	prochains jours si effectivement le vent redouble d' intensité	un jour si effectivement le vent redouble d' intensité	_
25	PROPN XFAMIL PREP PROPN XFAMIL COCO PROPN XFAMIL XFAMIL DETFS PROPN PREFP PPOBJMS VERB AUX VPPMS DET NMP PREP DETMS NMS ADJMS ADV PREP CHIF CHIF NMP CHIF NMP ADJMP PREP NFS AUX PREP NFS NFS VPPFS PREP DETMS NMS PREP DET NMS PROPN XFAMIL	perrine baglan avec amélie pateyron et jean maurice prin la france vous le disiez a envoyé des renforts sur le sol espagnol plus de quatre cents pompiers sept avions bombardiers d' eau sont sur place décision prise par le ministre de l' intérieur manuel valls	baghlan <eps> avec amélie pateyron et jan maurice prin la france vous <eps> disiez envoyer <eps> des renforts sur le sol espagnol plus de quatre cents pompiers sept avions bombardiers d' eau sont sur place décision prise par le ministre de l' intérieur manuel valls	_
26	PRON PREL PREF VERB PREP PROPN VERB PREFP VERB COCO ADV DINTMS NMS PREP DET PROPN PREL AUX	ce qui se passe en europe doit nous toucher et notamment un pays comme l' espagne qui est	<eps> qui se passe en europe doit nous toucher <eps> notamment un pays comme l' espagne qui est	_
27	PREP ADV VPPMS PREP DETFS NFS ADJFS COCO ADJFS ADV ADJFS AUX DINTFS NFS PREL PPER1S VERB ADV ADJFS COCO PREL AUX ADV AUX VPPFS PREP DET NMP ADV PREP NMS ADJMP	en plus frappé par la crise économique et financière évidemment c' est une région que je connais bien hum et qui a déjà été touchée par des incendies tout à fait dramatiques	<eps> plus frappés par la crise économique et financière évidemment c' est une région que je connais bien <eps> et qui a déjà été touché par des incendies tout à fait dramatique	_
28	PREP DET NFS ADV PDEMMS ADJMS NMS PREP NFS PREP DETFS NFS PROPN	dans l' actualité également ce nouvel avis de tempête sur la zone euro	dans l' actualité également ce nouvel avis de tempête sur la zone euro	_
29	CHIF NMP PREL DETFS NFS ADV ADJFS PROPN VPPFS PREP NFS ADJFS PREP DET NFS PREP NFS MOTINC MOTINC DET NMS AUX AUX ADV VPPMS PROPN PREP XFAMIL	trois pays dont la pourtant très solide allemagne placée sous perspective négative par l' agence de notation moody' s leur triple a est désormais menacé nicolas de labareyre	trois pays dont la pourtant très solide allemagne placer sous perspective négative par l' agence de notation modise <eps> leur triple a est désormais menacé nicolas de labareyre	_
30	AUX PDEMMS PREP NMS PREP DET PROPN DINTMS PROPN COCO DET NMP ADJ PREP VERB DET NMS PREP	est ce au tour de l' allemagne du luxembourg et des pays bas de perdre leur triple a	<eps> ce autour <eps> de l' allemagne du luxembourg et des pays-bas <eps> de perdre leur triple a	_
31	ADJMS DET NFS PROPN XFAMIL AUX VPPMS ADV NMS DET NMP PREP NFP ADJFP	possible l' agence moody' s a placé hier soir ces pays sous perspectives négatives	<eps> l' agence moody' s a placé hier soir ces pays sous perspective négative	_
32	PREP NMS PPER3FS ADV VERB ADV PREP VERB DET NFS COSUB DETFS NFS PREF VERB	en clair elle n' exclut pas d' abaisser leur note si la situation se dégrade	en clair elle n' exclut pas d' abaisser leurs notes si la situation se dégrade	_
33	PDEMMS NMS ADV VERB ADV DET NMP	cet avertissement ne panique pas les investisseurs	cet avertissement ne panique pas les investisseurs	_
34	DET NFP ADJFP VERB ADJFP COCO PREP ADJFS NFS	les bourses européennes restent stables ou en légère baisse	<eps> bourses européennes reste stable ou en légère baisse	_
35	PDEMFS NFS ADV AUX ADV ADV DINTMS NMS ADJMS COCO PDEMMS ADV VERB ADV ADV PREP DET NMP	cette dégradation n' est certainement pas un signal positif mais ça n' influe pas trop sur les marchés	<eps> dégradation n' est certainement pas un signal positif mais ça n' influe pas trop sur les marchés	_
36	ADV COSUB PREFP AUX ADV VPPMS PREP DETMS NMS DET NFP ADJFP PREP DETFS NFS DET NFP PREP NFP PDEMFS NFS PREP NFS ADV AUX ADV VPPMS VERB NMS COCO PREP DINTMS NMS ADJMS AUX ADJMS	parce que nous avons déjà observé dans le passé des décisions étranges de la part des agences de notations cette baisse de perspective n' aurait pas dû avoir lieu mais dans un sens c' était prévisible	parce que nous avons déjà observé dans le passé des décisions étranges de la part des agences de notation cette baisse de perspective n' aurait pas dû avoir lieu <eps> dans un sens c' était prévisible	_
37	ADJMS ADV COSUB DETFS NFS PREP DETFS NFS ADV PPOBJFS VERB ADV PREP VERB DET NMP PREP PREF VERB PROPN XFAMIL VERB COSUB PPER3MS AUX PREP ADV PREP ADV ADJMS COSUB DETFS PROPN VERB PREP DETFS NFS ADJFS COCO COSUB DET ADJMP NMP PREP NMS AUX ADJMP PREP DET PROPN COCO DET PROPN ADV	prévisible parce que la crise de la dette n' en finit plus d' inquiéter les analystes pour se justifier moody' s explique qu' il est de plus en plus probable que la grèce sorte de la zone euro et que de nouveaux plans de sauvetage soient nécessaires pour l' espagne et l' italie notamment	prévisible parce que la crise de la dette n' en finit plus d' inquiéter les analystes pour se justifier moodys explique-t-il <eps> <eps> <eps> est de plus en plus probable que la grèce sortent de la zone euro <eps> que de nouveaux plans de sauvetage soit nécessaire pour l' espagne et l' italie notamment	_
38	DET ADJMP NMP VERB PREP DET NMP DET ADV ADJMP	de tels événements pèseraient sur les pays les plus solides	<eps> tels événements pèserait sur les pays les plus solides	_
39	DETMS NMS COSUB PPER3MS PPOBJMS VERB DINTFS NFS PREP NFS ADJFS PREP DET PROPN PUNCT AUX ADV DETMS NMS PREP VERB COSUB COSUB DET NMP PREP DET PROPN AUX PREP DINTFS NFS ADV ADJFS COCO ADV PPER3MS PPOBJMS VERB DINTMS NMS PREP DET PROPN COCO COSUB PDEMMS NMS VERB VERB DETMS DET <eps> NFP ADJFP ADJFP	le fait qu' il y ait une mise sous surveillance négative de l' allemagne c' est simplement le fait de comprendre que si les pays de l' europe sont dans une difficulté plus grande et bien il y aura un coup pour l' allemagne et que ce coup viendrait déstabiliser le les <eps> finances publiques allemandes	<eps> fait qu' il y ait une mise sous surveillance négative de l' allemagne c' est simplement le fait de comprendre que si les pays de l' europe sont en <eps> difficulté plus grande eh bien il y aura un coût pour l' allemagne et que ce coup viendrait déstabiliser le lait des finances publiques allemandes	_
40	PREP DETMS NMS PREP PROPN VERB PREP DET NMP VPPMP PREP DET ADV ADJMP DETMS NMS DET NFP ADJMS VERB COSUB DET NMS VERB PREP AUX PPER1S VERB DET NFS PREP NFS PREP DETFS NFS PROPN	pour le moment l' allemagne reste parmi les états considérés comme les plus solvables le ministre des finances allemand assure que son pays continuera d' être je cite l' ancre de stabilité dans la zone euro	<eps> le moment l' allemagne reste parmi les etats considérés comme les plus solvable le ministre des finances allemand assure que son pays continuera d' être je cite l' ancre de stabilité dans la zone euro	_
41	DETFS NFS ADJFS PREP DETFS NFS PREP DINTFS NFS ADJFS PREP DET NMS DET NFP PREF VERB ADV PREP PROPN PREP DETMS NMS ADJMS PREL VERB DETFS NFS PREP CHIF CHIF NMP ADJMS AUX ADV ADV COSUB PREP NMS DET NMP DETMS NMS VERB PREF VERB PREP DET NFP PREP NMS PREP NMS	la filière automobile à la veille d' une journée capitale pour son avenir les négociations s' ouvrent demain chez psa sur le plan social qui prévoit la suppression de huit mille postes c' est aussi demain qu' en conseil des ministres le gouvernement doit se pencher sur les mesures de soutien au secteur	la filière automobile à la veille d' une journée capitale pour son avenir les négociations s' ouvrent demain chez psa sur le plan social qui prévoit la suppression de huit milles postes c' est aussi demain qu' en conseil des ministres le gouvernement doit se pencher sur les mesures de soutien au secteur	_
42	COCO PREP PDEMMS NMS DET NFS AUX ADV VPPMS PREP VERB PPOBJMS VERB PREP PROPN XFAMIL	et dans ce contexte l' opposition a clairement décidé de s' en prendre à arnaud montebourg	<eps> dans ce contexte l' opposition a clairement décidé de s' en prendre à arnaud montebourg	_
43	DETMS NMS PREP PROPN DET NMP ADJ PROPN XFAMIL VERB PREP NMS DINTMS NMS ADJMS PREP PREF VERB PREP NMS PREP DETMS NMS PROPN DETMS NMS ADJMS DINTMS NMS ADJMS PROPN XFAMIL XFAMIL VERB PREP DET NMS COSUB DETMS NMS VERB PREP NMS PREP VERB	le chef de file des députés ump christian jacob reproche au ministre du redressement productif de se comporter en procureur dans le dossier psa le porte parole du groupe centriste jean christophe lagarde regrette de son côté que le ministre parle au lieu d' agir	<eps> chef de file des députés ump christian jacob reproche au ministre du redressement productif de se comporter en procureur dans le dossier psa le porte-parole <eps> du groupe centriste jean-christophe <eps> lagarde regrette de son côté que le ministre parle au lieu d' agir	_
44	PREFP AUX VPPMP DET NMP ADJMP PREP NMS PROPN	nous sommes lassés des moulinets estivaux de monsieur montebourg	<eps> sommes assez des moulinets estivaux de monsieur montebourg	_
45	PDEMMS AUX ADV PREP AUX ADJMS PREP VERB DET NMP PREP VERB COSUB ADV PPER3MS AUX ADV NMS PREP DETFS NFS ADJFS COCO ADV PPER3MS AUX NMS PREP DETFS NFS PPER3MS PREF VERB ADV PREP PREFP VERB PPER1S VERB VERB PPER3MS VERB DET NMP PREP VERB	c' est bien d' être g() d' agiter les bras de faire comme s' il était encore candidat à la primaire socialiste mais aujourd'hui il est ministre de la république il s' agit plus de nous dire je peux faire il a les moyens de faire	c' est bien de hadjout <eps> d' agiter les bras de fer comme s' il était encore candidat à la primaire socialiste aujourd' hui les ministres <eps> de la république il s' agit plus de nous dire je peux faire il a les moyens de faire	_
46	COSUB VERB PPER3MS VERB DET NMP PDEMMS ADV VERB ADV DET NFP PREP DET NMP VERB PDEMFS NFS	que fait il dénoncer les uns ça ne donne pas de solutions pour les salariés créer cette tension	<eps> fait il dénonçait les en ça ne donne pas des solutions pour les salariés crée cette tension	_
47	PREL AUX VPPMS DETMS ADJMS NMS PREP VERB DET NFP PREP VERB PPOBJMS ADV DET NMP PREP PROPN PDEMMS ADV VERB PDEMMS <eps> ADV PDEMMS ADV VERB PRON PREP NMS ADV DETFS ADJFS NFS PDEMMS AUX ADV VERB COSUB DET NMP PREP PROPN VERB ADV AUX ADV ADV ADV DETFS NFS ADJFS AUX ADV VPPFP PREFP	qui a conduit le premier ministre à apaiser les choses en recevant lui même les dirigeants de peugeot ça ne s() ça <eps> ne ça n' apporte rien de positif donc la vraie question c' est comment empêcher que ces sites de peugeot ferment c' est même pas encore la réindustrialisation c' est que faites vous	<eps> a conduit le premier ministre à apaiser les choses en recevant lui-même <eps> les dirigeants de peugeot ça ne s ça ça ne ça n' apporte rien de positif donc la vraie question c' est comment empêcher cécile <eps> <eps> de peugeot faire c' est même pas encore la réindustrialisation c' est que faites-vous <eps>	_
48	ADJFS NFS PREP PROPN XFAMIL PPER3MS AUX VPPMS DET NMP VPPMP PREP PROPN AUX VPPMS COSUB DETFS NFS DET NMP PREP DET NMS PREP PROPN PREP CHIF CHIF CHIF AUX ADJFS DET ADJMS NMS DINTMS NMS AUX VPPMS PREP PPOBJMS VERB PREP DET NFS PREP DET AUX VPPMP	première réaction d' éric woerth il est soulagé des experts mandatés par bercy ont estimé que la vente des terrains de l' hippodrome de compiègne en deux mille dix était légale l' ancien ministre du budget était soupçonné de les avoir en quelque sorte de les avoir bradés	première réaction d' eric woerth il est soulagé des experts mandatés par bercy ont estimé que la vente des terrains de l' hippodrome de compiègne en deux milles dix était légale l' ancien ministre du budget étaient soupçonnés de les avoir en quelque sorte brader <eps> <eps> <eps>	_
49	PDEMMS AUX ADJMS COSUB DET NMP PREP NFP AUX PREP NMP <eps> <eps> AUX DET NMP PREL PREFS VERB NFS ADV PDEMMS AUX ADV ADV DINTMS NMS AUX PREP NMS DINTMS NMS ADJMS	c' est vrai que les rapports d' expertises sont de juridiques <eps> <eps> sont des rapports qui me donnent raison donc c' est évidemment toujours un c' est d' abord un soulagement voilà	<eps> est vrai que les rapports d' expertise on aurait dit que ce sont des rapports qui me donne raison donc c' était évidemment toujours hein c' est d' abord un soulagement <eps>	_
50	PDEMMS AUX DETFS NFS PREP PRON PREL PPER1S VERB PREP CHIF NMP PDEMFS NFS AUX ADJFS ADV	c' est la confirmation de ce que je dis depuis deux ans cette vente était légale évidemment	c' est la confirmation de ce que je dis depuis deux ans cette vente est légale évidemment	_
51	COCO PREP DET NMS PREP DET NMS	et dans l' intérêt de l' état	si dans l' intérêt de l' etat	_
52	PDEMMP PREL AUX VPPMS DETMS NMS VERB ADV DINTFS ADJFS NFS ADJFS ADV ADJFS COCO PREP ADJMP NMP PREP VERB PREP PDEMMS AUX ADV ADV VERB PREP PREFS PREP PREFS VERB COSUB PDEMMS VERB ADV ADV ADV PREP DETFS NFS ADJFS COSUB PPER3FS AUX ADV VPPFS	ceux qui ont dit le contraire avaient soit une arrière pensée politique très forte soit d' autres dossiers à défendre derrière cela soit tout simplement essayaient de me de me nuire comme ça arrive malheureusement trop souvent dans la vie politique quand elle est mal accomplie	ce qui ont dit le contraire avait soit une arrière pensée politique très forte soit d' autres dossiers à défendre derrière cela soient tout simplement essayer de me <eps> <eps> nuire comme ça arrive malheureusement trop souvent dans la vie politique quand elle est mal accompli	_
53	DINTMS NMS PREP DETFS NFS PREL AUX VPPMS CHIF NMP PREP DETFS NFS PREP DETMS NMS PREP PROPN DETMS NMS ADJMS COCO DET NMS PREP PRELMS PPER3MS AUX VERB DETFS NFS VERB PREP AUX VPPMP PREP DINTMS NMS ADJ PPER3MP AUX AUX VPPMP PREP PROPN	un mois après la fusillade qui a fait deux morts devant la discothèque de le théâtro à lille le tireur présumé et l' homme avec lequel il avait pris la fuite viennent d' être présentés à un juge lillois ils avaient été arrêtés en espagne	un mois après la fusillade qui a fait deux morts devant la discothèque <eps> le teatro à lille le tireur présumé est l' homme avec lequel il avait pris la fuite viennent d' être présenté <eps> un juge lillois ils avaient été arrêtés en espagne	_
54	PREP DET NMP PREP NFS PDEMMS AUX ADV <eps> COSUB DET NFP ADJFP PPOBJFP AUX VPPMP PREP DETFS PROPN	après quelques jours de cavale c' est aujourd'hui <eps> que les autorités espagnoles les ont extradés vers la france	après quelques jours de cavale c' est aujourd' hui que les autorités espagnoles les ont extradé vers la france	_
55	CHIF CHIF ADJMP NMP PREP CHIF NMP PREP PROPN DET NMP PREP NMS PREP PROPN ADV DET NMS DET NMP PREF VERB DETMS PROPN	cinq mille nouveaux réfugiés depuis trois jours en jordanie des camps d' accueil en iraq désormais l' exode des syriens s' intensifie le liban	cinq milles nouveaux réfugiés depuis trois jours en jordanie des camps d' accueil en irak désormais l' exode des syriens s' intensifient le liban	_
56	VERB ADV NFS DET NFP PREP NFS PREP DINTFS NFS ADV ADJ PREP NFS PREP DETFS ADJFS NFS ADJFS PINDMS PREF VERB PREP DINTFS NFS ADV VPPFS PREP PROPN COCO PROPN XFAMIL	fait évidemment partie des portes de sortie avec une particularité là bas en raison de la forte diaspora syrienne on se retrouve avec une cohabitation très tendue entre pro et anti bachar	fait évidemment partie des portes de sortie avec une particularité là bas en raison de la forte diaspora syrienne on se retrouve avec une cohabitation très tendu entre pro et anti bâche	_
57	PREP PROPN PREP DETMS NMS DINTMS NMS ADJMS DET NMP ADJMP PREP PROPN <eps> XFAMIL XFAMIL COCO PROPN XFAMIL	à tripoli dans le nord du pays reportage des envoyés spéciaux de bfmtv <eps> laetitia soudy et quentin baulier	<eps> tripoli dans le nord du pays reportages des envoyés spéciaux de bfm tv laetitia soudy et quentin bollier	_
58	PROPN XFAMIL XFAMIL PREP DETMS NMS PREP PROPN ADV DET NMP PREF AUX VPPMP PREP VERB DET NMP ADJMP PREP PDEMFS NFS	bab el tabbaneh dans le centre de tripoli ici plusieurs comités se sont constitués pour aider les réfugiés syriens comme cette femme	belle tabac né dans le centre de tripoli ici plusieurs comités se sont constituées pour aider les réfugiés syriens comme cette femme	_
59	DETMS NMS VERB PREP NMS DET NMP DET NMP PREP PPOBJMP PREL VERB VERB NFS PREP ADV PREP CHIF NMP PREP NFS	le quartier soutient en effet les opposants des sunnites comme eux qui veulent mettre fin a plus de dix ans de répression	le quartier soutient en effet les opposants <eps> sunnites comme <eps> qui veulent mettre fin à plus de dix ans de répression	_
60	DETMS NMS ADJMS AUX VPPMS DINTMS NMS ADJMS PREP NFS PREP NMS	le régime syrien a atteint un niveau extrême de cruauté de meurtre	le régime syrien a atteint un niveau extrême <eps> cruauté demeure <eps>	_
61	PREP PDEMFS NFS PREFP VERB DET NFS	pour cette raison nous voulons sa fin	pour cette raison nous voulons sa femme	_
62	DETMS NMS ADJMS AUX ADV ADJMS ADV PREP PROPN COCO DET CHIF NMP PREF VERB NFS PREP VERB DET NMP VERB DET NFS DET NMP ADV ADJMS PREP PDEMFS NFS PROPN AUX DETMS NMS PREP PROPN XFAMIL XFAMIL PREL AUX VPPMS	le conflit syrien est très présent ici à tripoli car les deux camps se font face en contrebas ces immeubles soutiennent l' opposition quelques mètres plus haut dans cette rue c' est le portrait de bachar al assad qui est brandi	le conflit syrien est très présent ici à tripoli car les deux camps se font face en contrebas ces immeubles soutiennent l' opposition quelques mètres plus haut dans cette rue c' est le portrait de bachar al assad qui est brandi	_
